Customer ID,Recency,Frequency,Monetary,Cluster,Churn
12346,165,11,372.86,1,1
12347,3,2,1323.32,0,0
12348,74,1,222.16,0,0
12349,43,3,2671.14,0,0
12351,11,1,300.93,0,0
12352,11,2,343.8,0,0
12353,44,1,317.76,0,0
12355,203,1,488.21000000000004,1,1
12356,16,3,3562.25,0,0
12357,24,2,12079.99,0,0
12358,11,3,2719.01,0,0
12359,61,6,2563.36,0,0
12360,15,5,1590.83,0,0
12361,98,3,321.35,0,1
12362,374,1,130.0,1,1
12366,269,1,500.24,1,1
12368,264,1,917.6999999999999,1,1
12369,49,3,1791.15,0,0
12370,260,3,774.62,1,1
12371,45,3,2179.42,0,0
12373,260,2,763.0500000000001,1,1
12374,57,3,2246.29,0,0
12376,25,2,503.15,0,0
12377,17,2,1798.2,0,0
12378,198,1,1407.7,1,1
12379,58,2,767.98,0,0
12380,101,7,6951.49,0,1
12385,15,1,1938.4,0,0
12386,2,1,258.9,0,0
12387,51,1,143.94,0,0
12388,81,2,1120.45,0,0
12389,38,3,1433.33,0,0
12391,100,5,2312.53,0,1
12392,227,1,234.75000000000003,1,1
12393,18,2,816.85,0,0
12395,7,4,2048.64,0,0
12396,310,1,931.43,1,1
12399,21,3,853.65,0,0
12400,50,1,205.25,0,0
12402,28,5,1031.3,0,0
12403,157,1,591.6600000000001,1,1
12404,318,1,63.24,1,1
12406,35,3,2975.06,0,0
12408,21,3,1452.22,0,0
12409,56,4,12346.619999999999,0,0
12410,138,1,320.38,0,1
12411,45,1,346.9,0,0
12412,38,3,1370.05,0,0
12413,38,1,241.35,0,0
12414,99,3,390.0,0,1
12415,11,7,19543.84,0,0
12416,292,1,202.56,1,1
12417,46,11,3167.81,0,0
12418,49,3,1352.62,0,0
12419,21,2,503.01,0,0
12421,51,2,291.56,0,0
12422,30,14,4428.24,0,0
12423,23,2,763.08,0,0
12424,58,2,1579.07,0,0
12425,84,1,964.21,0,0
12426,298,1,762.48,1,1
12427,7,1,303.5,0,0
12429,1,5,3735.51,0,0
12431,9,13,4370.52,0,0
12433,2,5,7205.39,0,0
12434,17,1,297.29,0,0
12435,32,4,6096.04,0,0
12437,31,21,7731.99,0,0
12439,318,2,1158.18,1,1
12440,98,2,859.2,0,1
12441,2,1,173.55,0,0
12443,368,1,485.31,1,1
12445,56,1,301.58000000000004,0,0
12449,46,2,768.6,0,0
12450,35,3,490.32,0,0
12451,99,3,3634.36,0,1
12454,31,4,13151.44,0,0
12455,81,4,3413.09,0,0
12457,71,1,632.68,0,0
12458,63,2,830.09,0,0
12459,241,1,454.36,1,1
12460,92,1,326.65,0,1
12466,318,1,56.73,1,1
12467,59,1,132.8,0,0
12468,162,3,2941.2,1,1
12469,158,2,3070.54,1,1
12470,325,1,211.95,1,1
12471,10,49,20139.739999999998,3,0
12472,5,13,11308.48,0,0
12474,14,13,5048.66,0,0
12475,45,1,426.26,0,0
12476,32,12,7298.99,0,0
12477,35,3,7056.63,0,0
12480,35,3,2183.2200000000003,0,0
12481,1,6,6765.07,0,0
12482,212,29,23691.4,3,1
12483,14,11,2635.6,0,0
12484,119,6,1828.43,0,1
12485,165,1,708.1,1,1
12486,67,1,1037.28,0,0
12487,366,1,285.29999999999995,1,1
12490,14,11,4405.71,0,0
12492,39,1,452.0,0,0
12494,1,3,626.77,0,0
12495,276,1,357.4,1,1
12496,256,2,54.09,1,1
12497,36,2,5205.400000000001,0,0
12499,196,1,393.72,1,1
12500,71,8,1697.39,0,0
12503,220,1,1126.0,1,1
12504,53,2,297.0,0,0
12505,44,1,955.2,0,0
12507,220,1,539.25,1,1
12510,95,7,4195.45,0,1
12511,64,1,3084.02,0,0
12514,277,1,580.08,1,1
12516,66,2,1336.56,0,0
12519,112,1,385.7,0,1
12523,10,12,2582.38,0,0
12524,24,9,6640.39,0,0
12525,134,3,973.73,0,1
12527,130,2,386.8,0,1
12529,164,1,316.48,1,1
12530,51,5,2096.98,0,0
12531,322,1,1807.98,1,1
12533,263,2,1367.89,1,1
12537,44,1,732.94,0,0
12538,14,1,276.5,0,0
12539,86,3,5646.400000000001,0,0
12540,14,16,8854.25,0,0
12542,120,2,481.88,0,1
12543,84,1,980.25,0,0
12547,136,1,175.78,0,1
12549,211,6,1575.68,1,1
12553,21,2,916.47,0,0
12554,84,1,468.5,0,0
12555,318,1,129.23,1,1
12557,7,4,6725.18,0,0
12562,21,2,1185.18,0,0
12563,44,1,249.24,0,0
12567,3,7,4308.58,0,0
12568,280,1,70.0,1,1
12570,318,1,77.52,1,1
12573,17,4,556.87,0,0
12575,93,2,622.8199999999999,0,1
12576,28,3,826.89,0,0
12577,17,5,995.9499999999999,0,0
12578,21,2,1847.94,0,0
12580,212,1,637.2,1,1
12582,58,2,1469.04,0,0
12583,9,13,7166.0599999999995,0,0
12586,10,3,1865.73,0,0
12588,35,3,743.88,0,0
12589,57,6,4048.98,0,0
12591,26,2,899.3,0,0
12592,155,3,2145.06,1,1
12594,14,5,1751.89,0,0
12595,140,1,299.02,1,1
12598,99,3,1511.01,0,1
12599,17,6,1264.14,0,0
12600,7,12,2444.88,0,0
12601,40,1,104.19999999999999,0,0
12605,12,4,1232.95,0,0
12606,318,1,21.0,1,1
12608,40,1,415.79,0,0
12609,10,6,2309.01,0,0
12613,24,5,3490.69,0,0
12615,49,4,3449.79,0,0
12616,24,1,417.8,0,0
12619,196,1,140.14,1,1
12621,1,16,11086.14,0,0
12623,52,6,3442.7400000000002,0,0
12625,145,2,2481.06,1,1
12629,21,2,1558.22,0,0
12631,92,5,2841.07,0,1
12632,156,2,804.88,1,1
12633,18,3,3514.18,0,0
12634,171,2,490.0,1,1
12635,28,2,1241.23,0,0
12636,374,1,141.0,1,1
12637,14,4,2318.41,0,0
12638,275,1,249.8,1,1
12639,70,2,826.27,0,0
12643,21,6,5005.78,0,0
12644,66,3,1440.58,0,0
12645,45,4,1764.12,0,0
12647,3,27,14201.53,0,0
12648,73,3,793.95,0,0
12649,18,5,1671.1399999999999,0,0
12651,14,3,263.75,0,0
12652,70,1,97.05000000000001,0,0
12653,162,1,1950.98,1,1
12655,59,1,261.35,0,0
12656,61,3,2356.66,0,0
12661,72,1,162.0,0,0
12662,9,10,3138.2400000000002,0,0
12663,260,2,239.4,1,1
12664,150,2,1188.16,1,1
12665,53,2,250.6,0,0
12666,30,1,1248.42,0,0
12668,14,6,7637.53,0,0
12670,21,2,764.24,0,0
12671,242,1,2622.481,1,1
12672,231,1,211.15,1,1
12673,37,1,619.5,0,0
12675,189,2,958.5,1,1
12676,44,5,1511.7,0,0
12677,191,2,395.1,1,1
12678,11,9,16652.72,0,0
12681,3,24,17080.74,0,0
12682,1,23,11745.69,0,0
12683,1,8,4220.21,0,0
12686,7,1,89.14,0,0
12687,116,2,2138.91,0,1
12691,56,1,134.6,0,0
12692,273,1,110.95,1,1
12693,32,3,847.11,0,0
12694,57,1,973.68,0,0
12695,164,3,825.02,1,1
12696,70,2,851.91,0,0
12698,226,1,339.75,1,1
12699,53,1,638.11,0,0
12701,165,4,1648.7,1,1
12703,269,3,722.98,1,1
12705,19,5,4893.81,0,0
12708,4,9,2601.19,0,0
12709,2,20,21356.82,0,0
12711,247,2,1339.05,1,1
12712,1,10,2797.53,0,0
12714,24,7,9384.85,0,0
12717,226,1,277.93,1,1
12720,5,6,2478.94,0,0
12721,21,2,1356.95,0,0
12724,19,3,1286.11,0,0
12725,7,4,2266.76,0,0
12726,23,4,1405.5,0,0
12727,78,3,1698.8300000000002,0,0
12728,19,1,233.84,0,0
12730,157,1,829.25,1,1
12731,78,5,6879.8,0,0
12733,25,3,2040.92,0,0
12734,10,2,529.25,0,0
12737,134,2,3710.5,0,1
12738,8,1,155.35,0,0
12739,21,2,1713.69,0,0
12741,165,2,406.07,1,1
